model,scenario,region,variable,unit,time,value
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2030,49.28945524061789
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2035,50.80416334319749
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2040,56.51436298638503
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2045,50.29827999541643
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2050,53.44389225549111
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2025,363.2787832611539
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2030,416.57296730394955
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2035,452.36339428036007
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2040,490.8468331504876
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2045,523.3571160643311
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2050,570.7692469151417
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2025,0.15401928469217452
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2030,0.1442804663477356
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2035,0.18561897679632314
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2045,0.02363515956505447
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2050,1.9991067190074892
canoe,nz,british columbia,secondary energy|electricity|hydro,PJ,2025,215.9640571909748
canoe,nz,british columbia,secondary energy|electricity|hydro,PJ,2030,215.770857016975
canoe,nz,british columbia,secondary energy|electricity|hydro,PJ,2035,211.5038220392191
canoe,nz,british columbia,secondary energy|electricity|hydro,PJ,2040,204.48758649560358
canoe,nz,british columbia,secondary energy|electricity|hydro,PJ,2045,202.48751218001524
canoe,nz,british columbia,secondary energy|electricity|hydro,PJ,2050,199.90105955561287
canoe,nz,british columbia,secondary energy|electricity|natural gas,PJ,2025,2.874893180502213
canoe,nz,british columbia,secondary energy|electricity|natural gas,PJ,2030,2.879182276081143
canoe,nz,british columbia,secondary energy|electricity|natural gas,PJ,2035,2.8734342034442597
canoe,nz,british columbia,secondary energy|electricity|natural gas,PJ,2040,0.022426779853060637
canoe,nz,british columbia,secondary energy|electricity|renewables,PJ,2025,118.77611432550297
canoe,nz,british columbia,secondary energy|electricity|renewables,PJ,2030,151.77278778354594
canoe,nz,british columbia,secondary energy|electricity|renewables,PJ,2035,188.0697690828207
canoe,nz,british columbia,secondary energy|electricity|renewables,PJ,2040,242.19381627412554
canoe,nz,british columbia,secondary energy|electricity|renewables,PJ,2045,272.4958721352036
canoe,nz,british columbia,secondary energy|electricity|renewables,PJ,2050,323.3850699884534
canoe,nz,canada,secondary energy|electricity|bioenergy,PJ,2030,0.02219299982049022
canoe,nz,canada,secondary energy|electricity|bioenergy,PJ,2035,0.019686403495921236
canoe,nz,canada,secondary energy|electricity|coal,PJ,2025,0.4099181106518883
canoe,nz,canada,secondary energy|electricity|coal,PJ,2030,0.4604386680428677
canoe,nz,canada,secondary energy|electricity|coal,PJ,2035,0.5008473930532082
canoe,nz,canada,secondary energy|electricity|coal,PJ,2040,0.31570295625532285
canoe,nz,canada,secondary energy|electricity|coal,PJ,2045,0.22397959896296826
canoe,nz,canada,secondary energy|electricity|coal,PJ,2050,0.12154358604918253
canoe,nz,canada,secondary energy|electricity|hydro,PJ,2025,1274.4819312054117
canoe,nz,canada,secondary energy|electricity|hydro,PJ,2030,1285.2150481261365
