Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,reference,AB,Activity|electricity|E_WND_ON-NEW-6,?,0.007857435,0.05528093,0.123652219,0.219132301,3.676302068,23.02923158
Temoa,reference,AB,Activity|electricity|E_WND_ON-NEW-7,?,0.006356878,0.062404095,6.166807325,6.422986261,6.439597606,6.321744492
Temoa,reference,AB,Activity|electricity|E_WND_ON-NEW-8,?,0.011451911,21.91100392,22.69379938,22.68818773,22.39614152,22.15909303
Temoa,reference,AB,Activity|electricity|E_WND_ON-NEW-9,?,0.0083904,0.073643353,0.120881969,0.191235611,1.353200122,14.72746648
Temoa,reference,AB,Activity|electricity|F_E_BIO_M,?,0.001964353,0.004251788,0.006066556,0.008086956,0.01155243,0.014624551
Temoa,reference,AB,Activity|electricity|F_E_COAL,?,0.002159622,0.004573447,0.006750146,0.009601703,0.012949821,0.015956606
Temoa,reference,AB,Activity|electricity|F_E_NG,?,477.4009319,468.8097432,321.0575783,332.8082127,303.9002322,296.427207
Temoa,reference,AB,Activity|electricity|F_E_U_ENR,?,,,,,,0.000549526
Temoa,reference,AB,Activity|fuel|F_IMP_BIO,?,69.58218908,70.36,71.32,71.63,69.93999999,66.68
Temoa,reference,AB,Activity|fuel|F_IMP_BIO_M,?,0.001964353,0.004251788,0.006066556,0.008086956,0.01155243,0.014624551
Temoa,reference,AB,Activity|fuel|F_IMP_CNG,?,0.251129518,0.11167725,,,,
Temoa,reference,AB,Activity|fuel|F_IMP_COAL,?,0.002159622,0.004573447,0.006750146,0.009601703,0.012949821,0.015956606
Temoa,reference,AB,Activity|fuel|F_IMP_DSL,?,183.4174379,169.2792319,139.310171,102.15595,87.93056661,86.48549596
Temoa,reference,AB,Activity|fuel|F_IMP_ETH,?,13.24723332,14.69384242,10.83622467,12.13429553,12.67581284,11.40623847
Temoa,reference,AB,Activity|fuel|F_IMP_GSL,?,121.5272605,99.1156933,76.7704797,83.6674366,86.783772,79.85781118
Temoa,reference,AB,Activity|fuel|F_IMP_H2,?,,63.7100005,66.46000054,66.4400006,67.26000063,68.78000081
Temoa,reference,AB,Activity|fuel|F_IMP_HFO,?,792.5061587,738.6678697,713.9978635,709.5778543,717.4578473,730.9660394
Temoa,reference,AB,Activity|fuel|F_IMP_JTF,?,45.44701142,48.99292076,50.80389351,53.26167963,56.55431109,60.55812256
Temoa,reference,AB,Activity|fuel|F_IMP_LNG,?,24.08057546,27.0808755,29.27560311,34.48787843,36.51675064,38.75177584
Temoa,reference,AB,Activity|fuel|F_IMP_LPG,?,1.20885064,0.853308121,0.49776482,0.056888736,,
Temoa,reference,AB,Activity|fuel|F_IMP_NG,?,2908.645044,2773.179792,2573.665007,2491.572686,2425.883871,2435.580611
Temoa,reference,AB,Activity|fuel|F_IMP_RDSL,?,6.175280745,5.432218643,4.23314888,2.731976812,2.134370276,2.046719846
Temoa,reference,AB,Activity|fuel|F_IMP_U_ENR,?,,,,,,0.000549526
Temoa,reference,AB,Activity|fuel|F_IMP_WOOD,?,68.34043107,113.8953303,169.8604725,229.0687333,252.3381332,267.228253
Temoa,reference,AB,Activity|industrial|E_I_ELC,?,197.4454215,214.46,232.96,240.64,245.36,249.9
Temoa,reference,AB,Activity|industrial|F_I_BIO,?,69.58218908,70.36,71.32,71.63,69.93999999,66.68
Temoa,reference,AB,Activity|industrial|F_I_H2,?,,63.71,66.45999999,66.44,67.26,68.78
Temoa,reference,AB,Activity|industrial|F_I_HFO,?,792.3482837,738.51,713.84,709.42,717.3,730.85
Temoa,reference,AB,Activity|industrial|F_I_NG,?,2081.044106,1949.92,1910.54,1839.14,1796.78,1802.19
Temoa,reference,AB,Activity|industrial|I_IND,?,3140.42,3036.96,2995.12,2927.27,2896.64,2918.4
Temoa,reference,AB,Activity|residential,?,443.5293707,476.6716727,517.7257716,561.0628294,598.4092106,633.5403158
Temoa,reference,AB,Activity|residential|E_R_ELC,?,35.51575593,30.81702906,25.60059571,23.72830884,22.1461553,23.2735004
Temoa,reference,AB,Activity|residential|F_R_LPG,?,1.20885064,0.853308121,0.49776482,0.056888736,,
Temoa,reference,AB,Activity|residential|F_R_NG,?,147.6243013,127.7248831,103.8631769,75.6756246,76.06085323,80.5480217
Temoa,reference,AB,Activity|residential|F_R_WOOD,?,68.34043107,113.8953303,169.8604725,229.0687333,252.3381332,267.228253
Temoa,reference,AB,Activity|residential|R_APP_CL_WASH-EXS,?,0.055151351,0.022023178,,,,
Temoa,reference,AB,Activity|residential|R_APP_CL_WASH-TYP-NEW,?,0.027463403,0.065981824,0.094330758,0.099456607,0.105947309,0.112421805
Temoa,reference,AB,Activity|residential|R_APP_COOK_ELEC-EXS,?,0.055614784,0.034224463,0.008998642,,,
Temoa,reference,AB,Activity|residential|R_APP_COOK_NG-EXS,?,0.004018165,0.001219119,,,,
Temoa,reference,AB,Activity|residential|R_APP_COOK_NG-TYP-NEW,?,0.028403942,0.058000933,0.090137061,0.107002856,0.114514458,0.121265519
Temoa,reference,AB,Activity|residential|R_APP_DRY_ELEC-EXS,?,0.042305276,0.021091207,,,,
Temoa,reference,AB,Activity|residential|R_APP_DRY_NG-EXS,?,0.00354055,0.00086273,,,,
Temoa,reference,AB,Activity|residential|R_APP_DRY_NG-TYP-NEW,?,0.041997895,0.070479311,0.100040691,0.106645414,0.114379973,0.121102544
Temoa,reference,AB,Activity|residential|R_APP_DS_WASH-EXS,?,0.043921431,0.023875939,0.000572881,,,
Temoa,reference,AB,Activity|residential|R_APP_DS_WASH-TYP-NEW,?,0.029602745,0.053337497,0.080209084,0.088668289,0.095097044,0.100625046
Temoa,reference,AB,Activity|residential|R_APP_FREZ-EXS,?,0.048080657,0.033939281,0.019797902,0.000510585,,
Temoa,reference,AB,Activity|residential|R_APP_FREZ-TYP-NEW,?,0.020123481,0.038748962,0.058082556,0.080847206,0.088588025,0.093815426
Temoa,reference,AB,Activity|residential|R_APP_OTH,?,1.840986611,1.962022804,2.102172592,2.243324511,2.391194415,2.532294
Temoa,reference,AB,Activity|residential|R_APP_REFR-EXS,?,0.060807912,0.006481527,,,,
Temoa,reference,AB,Activity|residential|R_APP_REFR-TYP-NEW,?,0.053467594,0.114839119,0.130488096,0.139249814,0.148428539,0.157187009
Temoa,reference,AB,Activity|residential|R_LGT_CFL-EXS,?,2.604947634,1.674656368,0.636374732,,,
Temoa,reference,AB,Activity|residential|R_LGT_LED-EXS,?,3.849821214,3.849832971,3.657361474,3.84982765,3.07983142,2.114785168
Temoa,reference,AB,Activity|residential|R_LGT_LED-TYP-NEW,?,9.531955767,11.81162342,14.59845563,16.54823201,18.95678481,21.32455779
Temoa,reference,AB,Activity|residential|R_LGT_T12-EXS,?,1.053788969,0.824734241,0.565865953,0.366543527,0.096677617,
Temoa,reference,AB,Activity|residential|R_SPC_CENT_AC-EXS,?,1.223599992,0.86367585,0.503750461,0.057580971,,
Temoa,reference,AB,Activity|residential|R_SPC_ROOM_AC-EXS,?,0.085756152,,,,,
Temoa,reference,AB,Activity|residential|R_SPHC_AIR_HP-TYP-NEW,?,1.13005649,1.905590221,2.59712226,3.404472636,3.709677375,3.928658505
Temoa,reference,AB,Activity|residential|R_SPHC_GEO_HP-TYP-NEW,?,0.000106426,0.00024236,0.000598383,0.000916522,0.001358462,0.001586318
Temoa,reference,AB,Activity|residential|R_SPH_ELEC-EXS,?,9.087529164,6.696074638,4.304619625,1.721848721,,
Temoa,reference,AB,Activity|residential|R_SPH_HP-EXS,?,1.292118126,0.704778288,0.044646803,,,
Temoa,reference,AB,Activity|residential|R_SPH_NG-EXS,?,78.85211765,58.58976189,32.46855945,3.710732391,,
Temoa,reference,AB,Activity|residential|R_SPH_NG_FRN-TYP-NEW,?,,0.000663213,0.000473488,0.000445087,0.000973622,0.001111171
Temoa,reference,AB,Activity|residential|R_SPH_OTH-EXS,?,0.60442532,0.42665406,0.24888241,0.028444368,,
Temoa,reference,AB,Activity|residential|R_SPH_WOOD-TYP-NEW,?,48.52170606,80.86568449,120.6009355,162.6388007,179.1600745,189.7320596
Temoa,reference,AB,Activity|residential|R_WAH_ELC-EXS,?,0.802076102,0.437385221,0.029162957,,,
Temoa,reference,AB,Activity|residential|R_WAH_ELEC-TYP-NEW,?,,4.32178E-05,0.000103035,0.000444587,0.001172845,0.001859305
Temoa,reference,AB,Activity|residential|R_WAH_NG-EXS,?,15.3765026,7.688249211,,,,
Temoa,reference,AB,Activity|residential|R_WAH_NG-TYP-NEW,?,14.46803834,24.53434465,34.96201925,37.33927944,39.79936849,42.14721155
Temoa,reference,AB,Activity|transportation,?,1173.193216,1197.17803,1144.359976,1129.077737,1149.633837,1174.482428
Temoa,reference,AB,Activity|transportation|E_T_ELC,?,14.00780618,23.99985728,36.64198176,45.53134929,55.54040212,66.13258898
Temoa,reference,AB,Activity|transportation|F_T_CNG,?,0.251129518,0.11167725,,,,
Temoa,reference,AB,Activity|transportation|F_T_DSL,?,148.2067379,130.3732474,101.5955731,65.56744349,51.22488663,49.12127632
Temoa,reference,AB,Activity|transportation|F_T_ETH,?,13.24723332,14.69384242,10.83622467,12.13429553,12.67581284,11.40623847
Temoa,reference,AB,Activity|transportation|F_T_GSL,?,107.1821605,83.26510702,61.40527315,68.761008,71.82960609,64.63535132
Temoa,reference,AB,Activity|transportation|F_T_HFO,?,0.157874981,0.157869727,0.157863519,0.157854279,0.15784727,0.116039424
Temoa,reference,AB,Activity|transportation|F_T_JTF,?,45.44701142,48.99292076,50.80389351,53.26167963,56.55431109,60.55812256
Temoa,reference,AB,Activity|transportation|F_T_LNG,?,24.08057546,27.0808755,29.27560311,34.48787843,36.51675064,38.75177584
Temoa,reference,AB,Activity|transportation|F_T_NG,?,24.16328224,31.13750737,31.13757682,31.13760671,29.58077573,26.32662226
Temoa,reference,AB,Activity|transportation|F_T_RDSL,?,6.175280745,5.432218643,4.23314888,2.731976812,2.134370276,2.046719846
Temoa,reference,AB,Activity|transportation|T_BLND_ETH_GSL,?,120.4293938,97.95894944,72.24149782,80.89530353,84.50541892,76.04158979
Temoa,reference,AB,Activity|transportation|T_BLND_GSL_ELC_PHEV35,?,28.47840267,33.46456335,33.75683902,20.49135783,15.50521112,15.19500777
Temoa,reference,AB,Activity|transportation|T_BLND_JTF,?,45.44701006,48.99291754,50.80388836,53.26167256,56.55430222,60.55811552
Temoa,reference,AB,Activity|transportation|T_BLND_RDSL_DSL,?,154.3820186,135.8054661,105.828722,68.2994203,53.3592569,51.16799616
Temoa,reference,AB,Activity|transportation|T_ELC_AC_DC,?,,,0.00037441,0.000732526,,0.002472966
Temoa,reference,AB,Activity|transportation|T_H2_COMP_100_700,?,19.52270985,25.15968402,25.1595873,25.16084575,23.90222269,21.27953164
Temoa,reference,AB,Activity|transportation|T_H2_COMP_10_100,?,19.52270985,25.15968402,25.15956895,25.16082444,23.90219904,21.27952259
Temoa,reference,AB,Activity|transportation|T_H2_HDV_REFUEL,?,3.693044216,10.8414358,11.62367389,16.79131816,22.99919971,20.72900602
Temoa,reference,AB,Activity|transportation|T_H2_MDV_REFUEL,?,15.73205077,14.19242413,13.41239086,8.246008635,0.78564494,0.444006053
Temoa,reference,AB,Activity|transportation|T_H2_distribution,?,19.52270985,25.15968402,25.16192302,25.16319657,23.90458852,21.27959488
Temoa,reference,AB,Activity|transportation|T_HDV_AJF_JFL_EX,?,0.095134445,0.083604003,0.059246086,0.028417956,,
Temoa,reference,AB,Activity|transportation|T_HDV_AJF_JFL_N,?,0.301886981,0.358919292,0.417421688,0.482589621,0.544842677,0.583416326
Temoa,reference,AB,Activity|transportation|T_HDV_AJP_JFL_EX,?,10.34123708,8.824359897,5.570253499,1.954374647,,
Temoa,reference,AB,Activity|transportation|T_HDV_AJP_JFL_N,?,21.98867601,27.16246416,33.19332227,39.60184362,44.30781584,47.4446262
Temoa,reference,AB,Activity|transportation|T_HDV_BIC_DSL_EX,?,0.105880409,0.046953119,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_BIC_GSL_EX,?,0.012625024,0.0072046,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_BIC_GSL_N,?,0.725576361,0.884797233,1.011972899,1.084862525,1.156653409,1.238530692
Temoa,reference,AB,Activity|transportation|T_HDV_BS_BEV_N,?,,,3.006796615,6.919707225,7.952151641,8.613466067
Temoa,reference,AB,Activity|transportation|T_HDV_BS_CNG_EX,?,0.293462859,0.130476258,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_BS_DSL_EX,?,0.983796779,0.393991117,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_BS_FCHEV_N,?,4.522454844,5.978169078,4.044856598,0.640007553,0.108132149,0.017475776
Temoa,reference,AB,Activity|transportation|T_HDV_BS_GSL_EX,?,0.081644159,0.043760846,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_BT_BEV_EX,?,0.141198582,0.070804381,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_BT_BEV_N,?,,0.214586303,2.091169336,2.098954543,1.276521228,2.504948769
Temoa,reference,AB,Activity|transportation|T_HDV_BT_CNG_EX,?,0.048968815,0.019620569,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_BT_DSL_EX,?,0.546931992,0.245641251,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_BT_FCHEV_N,?,2.872966379,3.470849817,2.244535699,2.549118927,3.679312015,2.801748385
Temoa,reference,AB,Activity|transportation|T_HDV_BT_GSL_EX,?,0.005348965,0.002256976,,,,
Temoa,reference,AB,Activity|transportation|T_HDV_CHRG,?,0.062066989,0.137270361,4.174019959,8.577083405,12.97821846,16.68582519
Temoa,reference,AB,Activity|transportation|T_HDV_RF_DSL_EX,?,15.48069094,15.48289248,15.48061655,,,
Temoa,reference,AB,Activity|transportation|T_HDV_RF_LNG_N,?,108.4413448,122.4549766,133.1019428,159.2865593,169.8338282,181.8574689
Temoa,reference,AB,Activity|transportation|T_HDV_RICP_DSL_EX,?,0.437998444,0.487533833,0.513286274,0.305696746,0.121724661,
Temoa,reference,AB,Activity|transportation|T_HDV_RICP_DSL_N,?,,,0.011650205,0.257072393,0.478319925,0.642539275
Temoa,reference,AB,Activity|transportation|T_HDV_T_BEV_N,?,,,6.911503407,17.25562318,29.9042878,39.63310377
Temoa,reference,AB,Activity|transportation|T_HDV_T_DSL_EX,?,41.54311968,32.37978773,17.77639355,,,
Temoa,reference,AB,Activity|transportation|T_HDV_T_DSL_HEV_N,?,24.7081564,34.2965861,44.16266731,50.00762392,34.98279066,32.41577459
Temoa,reference,AB,Activity|transportation|T_HDV_T_FCHEV_N,?,,7.068662019,10.58469358,17.89472835,25.90950445,25.17580091
Temoa,reference,AB,Activity|transportation|T_HDV_WTF_HFO_EX,?,0.999951076,0.999896273,0.999830721,0.999738645,0.999646971,
Temoa,reference,AB,Activity|transportation|T_HDV_WTF_HFO_N,?,,,,,,0.99963012
Temoa,reference,AB,Activity|transportation|T_I_H2_ELC_ALK,?,,,,2.01327E-05,,0.00017238
Temoa,reference,AB,Activity|transportation|T_I_H2_ELC_PEM,?,,,,2.01716E-05,,0.000280715
Temoa,reference,AB,Activity|transportation|T_I_H2_SMR,?,19.52218067,25.15684025,25.15686121,25.15686546,23.89904358,21.26991019
Temoa,reference,AB,Activity|transportation|T_LDV_BEV_CHRG,?,0.117480202,0.272977493,0.366913548,0.429416275,2.368045449,7.42174729
Temoa,reference,AB,Activity|transportation|T_LDV_C_BEV150_EX,?,0.049221699,0.040743227,,,,
Temoa,reference,AB,Activity|transportation|T_LDV_C_BEV150_N,?,,,,,0.490961112,1.844601377
Temoa,reference,AB,Activity|transportation|T_LDV_C_BEV200_N,?,,,,,0.981924982,3.689206461
Temoa,reference,AB,Activity|transportation|T_LDV_C_BEV300_N,?,,,,,1.472889261,5.533811214
Temoa,reference,AB,Activity|transportation|T_LDV_C_BEV400_N,?,,,,,1.963853512,7.378416755
Temoa,reference,AB,Activity|transportation|T_LDV_C_DSL_EX,?,0.044021111,0.003097234,,,,
Temoa,reference,AB,Activity|transportation|T_LDV_C_GSL_EX,?,3.371264073,1.817098051,,,,
Temoa,reference,AB,Activity|transportation|T_LDV_C_GSL_HEV_EX,?,0.08857702,0.052166676,,,,
Temoa,reference,AB,Activity|transportation|T_LDV_C_GSL_HEV_N,?,21.55913293,26.04771579,30.14613801,32.31752483,29.54829321,18.45136945
Temoa,reference,AB,Activity|transportation|T_LDV_C_GSL_PHEV35_EX,?,0.030574676,0.024921202,,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTF_DSL_EX,?,0.207702971,0.170338138,0.031492443,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTF_GSL_EX,?,2.469684556,1.804635085,0.322929928,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTF_GSL_HEV_N,?,,,,,0.008411902,0.008733513
Temoa,reference,AB,Activity|transportation|T_LDV_LTF_GSL_PHEV35_EX,?,0.000594115,0.001912878,,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTF_GSL_PHEV35_N,?,3.865925714,5.308738627,7.494033682,8.414467675,8.962905175,9.597724341
Temoa,reference,AB,Activity|transportation|T_LDV_LTP_BEV300_EX,?,0.020444512,0.020728513,0.003521331,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTP_DSL_EX,?,0.32344154,0.206335799,0.034558928,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTP_GSL_EX,?,8.147689666,5.4320493,0.933959916,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTP_GSL_HEV_EX,?,0.057283887,0.05509777,0.010421967,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTP_GSL_HEV_N,?,,,7.170266141,35.05952012,47.4406727,52.14129847
Temoa,reference,AB,Activity|transportation|T_LDV_LTP_GSL_PHEV35_EX,?,0.011969428,0.013215308,0.000558514,,,
Temoa,reference,AB,Activity|transportation|T_LDV_LTP_GSL_PHEV35_N,?,27.31970012,34.21038989,34.86451327,11.06078779,1.733406177,0.514023689
Temoa,reference,AB,Activity|transportation|T_LDV_M_BEV_N,?,0.170012336,0.482096897,0.719178482,0.849490347,0.905742314,0.969868039
Temoa,reference,AB,Activity|transportation|T_LDV_M_GSL_EX,?,0.491062837,0.253709217,0.073314012,,,
Temoa,reference,AB,Activity|transportation|T_LDV_PHEV_CHRG,?,10.47700795,12.31147636,12.4194867,7.538993954,5.704525193,5.590400441
Temoa,reference,AB,Activity|transportation|T_MDV_CHRG,?,,6.362597273,13.5009168,21.91477507,26.54422663,27.68736365
Temoa,reference,AB,Activity|transportation|T_MDV_T_BEV_N,?,,4.397451859,10.22722413,17.2005269,21.5604173,23.24651744
Temoa,reference,AB,Activity|transportation|T_MDV_T_DSL_EX,?,6.906895826,5.115109728,2.304344936,,,
Temoa,reference,AB,Activity|transportation|T_MDV_T_FCHEV_N,?,4.666748571,5.062697559,5.206838972,3.330009346,0.329546359,0.193165213
Temoa,reference,AB,Activity|transportation|T_MDV_T_GSL_EX,?,4.398705874,3.203755601,1.412439049,,,
Temoa,reference,AB,Activity|transportation|T_OFF,?,14.4856338,16.12413786,17.36828071,18.61954345,19.85241577,21.2578839
Temoa,reference,AB,Capacity|commercial,?,603.9027299,625.9817037,645.4250053,670.7039146,699.1739785,741.937216
Temoa,reference,AB,Capacity|commercial|C_SPC_AC_ROOF-NEW,?,0.001839887,0.003934003,0.005825946,0.007888609,0.008537325,0.008785249
Temoa,reference,AB,Capacity|commercial|C_SPHC_HP_AIR-NEW,?,43.29929965,47.84332719,51.24403739,53.2464342,55.50899775,58.90547065
Temoa,reference,AB,Capacity|commercial|C_SPHC_HP_GEO-NEW,?,0.000684304,0.001469051,0.002208396,0.002497162,0.002692899,0.00286452
Temoa,reference,AB,Capacity|commercial|C_SPH_ELC-EXS,?,58.59759588,23.43903835,,,,
Temoa,reference,AB,Capacity|commercial|C_SPH_ELC_BLR-NEW,?,0.007654731,0.016398885,0.026488715,0.030477003,0.034293538,0.037761601
Temoa,reference,AB,Capacity|commercial|C_SPH_ELC_RES-NEW,?,0.007591936,0.016281717,0.026327256,0.033295577,0.036057509,0.038479078
Temoa,reference,AB,Capacity|commercial|C_SPH_NG-EXS,?,423.9713567,317.9785175,211.9856783,105.9928392,,
Temoa,reference,AB,Capacity|commercial|C_SPH_NG_FRN-NEW,?,78.0167068,236.682737,382.1344392,511.3904829,643.5833994,682.9438549
Temoa,reference,AB,Capacity|electricity,?,26.34627089,29.13665471,39.96200172,41.76413333,45.97608106,49.46977377
Temoa,reference,AB,Capacity|electricity|E_BAT_2H-EXS,?,0.37,0.37,0.256,,,
Temoa,reference,AB,Capacity|electricity|E_BAT_2H-NEW,?,0.000244702,0.000861163,0.203742425,0.354408252,0.518316617,0.49640735
