Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,nz,AB,Activity|electricity|E_WND_ON-NEW-9,?,14.51566766,14.53302352,14.54253625,14.55217204,14.56321981,14.57295858
Temoa,nz,AB,Activity|electricity|F_E_COAL,?,,0.00055968,0.00236677,0.004867053,0.006894917,0.009112784
Temoa,nz,AB,Activity|electricity|F_E_NG,?,97.66763886,102.3026763,105.0452701,115.7171351,101.8370103,107.0310786
Temoa,nz,AB,Activity|electricity|F_E_U_ENR,?,,,,,0.00052561,0.006829835
Temoa,nz,AB,Activity|fuel|F_IMP_BIO,?,92.19327754,111.28,130.42,130.03,132.94,129.79
Temoa,nz,AB,Activity|fuel|F_IMP_CNG,?,0.250972004,0.105929446,,,,
Temoa,nz,AB,Activity|fuel|F_IMP_COAL,?,,0.00055968,0.00236677,0.004867053,0.006894917,0.009112784
Temoa,nz,AB,Activity|fuel|F_IMP_DSL,?,145.7742639,129.2090643,91.96095734,54.4638347,55.76410154,57.77187472
Temoa,nz,AB,Activity|fuel|F_IMP_ETH,?,10.97352847,11.92551342,6.512347983,1.61367312,1.036424508,0.651100289
Temoa,nz,AB,Activity|fuel|F_IMP_GSL,?,103.1309212,83.4284956,52.26851176,24.05057624,20.82723809,18.91202811
Temoa,nz,AB,Activity|fuel|F_IMP_H2,?,,95.570001,174.4800007,186.0600008,176.970001,157.3700014
Temoa,nz,AB,Activity|fuel|F_IMP_HFO,?,762.4959826,702.9978262,631.1866391,558.2700271,507.1500093,465.43
Temoa,nz,AB,Activity|fuel|F_IMP_JTF,?,45.44700825,48.99291585,50.80388464,53.26166475,56.55428694,60.55810019
Temoa,nz,AB,Activity|fuel|F_IMP_LNG,?,27.51775617,30.51930913,32.83412093,34.50131609,36.53007567,38.76496565
Temoa,nz,AB,Activity|fuel|F_IMP_LPG,?,1.208850768,0.853307378,0.497763384,0.056888022,,
Temoa,nz,AB,Activity|fuel|F_IMP_NG,?,2269.927961,2030.837492,1504.323067,1005.564522,726.9036167,632.1558516
Temoa,nz,AB,Activity|fuel|F_IMP_RDSL,?,4.606815164,3.76262833,2.26026498,0.744805343,0.794100903,0.850318967
Temoa,nz,AB,Activity|fuel|F_IMP_U_ENR,?,,,,,0.00052561,0.006829835
Temoa,nz,AB,Activity|industrial|E_I_ELC,?,183.5007454,192.8999894,184.4899847,170.3399708,176.0199424,199.209868
Temoa,nz,AB,Activity|industrial|F_I_BIO,?,92.19327754,111.28,130.42,130.03,132.94,129.79
Temoa,nz,AB,Activity|industrial|F_I_H2,?,,95.57,174.48,186.06,176.97,157.37
Temoa,nz,AB,Activity|industrial|F_I_HFO,?,762.3381177,702.84,631.17,558.27,507.15,465.43
Temoa,nz,AB,Activity|industrial|F_I_NG,?,2030.817838,1826.87,1338.97,865.06,606.52,509.9199999
Temoa,nz,AB,Activity|industrial|I_IND,?,3068.85,2929.46,2459.53,1909.76,1599.6,1461.72
Temoa,nz,AB,Activity|residential,?,371.5003652,358.9001611,349.274284,346.7495214,363.9327527,385.2325034
Temoa,nz,AB,Activity|residential|E_R_ELC,?,61.66983661,76.87792957,93.08017682,109.8278899,116.0548116,122.7289474
Temoa,nz,AB,Activity|residential|F_R_LPG,?,1.208850768,0.853307378,0.497763384,0.056888022,,
Temoa,nz,AB,Activity|residential|F_R_NG,?,117.78169,77.78629055,37.78872662,4.330111384,0.011736926,0.01055746
Temoa,nz,AB,Activity|residential|R_APP_CL_WASH-EXS,?,0.05515135,0.022023172,,,,
Temoa,nz,AB,Activity|residential|R_APP_CL_WASH-TYP-NEW,?,0.027463403,0.065981439,0.094330516,0.099425149,0.105997705,0.112472222
Temoa,nz,AB,Activity|residential|R_APP_COOK_ELEC-EXS,?,0.055614789,0.034224477,0.008998667,,,
Temoa,nz,AB,Activity|residential|R_APP_COOK_ELEC-TYP-NEW,?,0.028400519,0.057945228,0.091513567,0.107083367,0.114646237,0.121570531
Temoa,nz,AB,Activity|residential|R_APP_COOK_NG-EXS,?,0.004018099,0.001219064,,,,
Temoa,nz,AB,Activity|residential|R_APP_DRY_ELEC-EXS,?,0.04230528,0.021091219,,,,
Temoa,nz,AB,Activity|residential|R_APP_DRY_ELEC-TYP-NEW,?,0.041960054,0.07103061,0.100455953,0.106573083,0.114319127,0.120854786
Temoa,nz,AB,Activity|residential|R_APP_DRY_NG-EXS,?,0.003540549,0.000862731,,,,
Temoa,nz,AB,Activity|residential|R_APP_DS_WASH-EXS,?,0.043921431,0.023875937,0.00057288,,,
Temoa,nz,AB,Activity|residential|R_APP_DS_WASH-TYP-NEW,?,0.029602745,0.053395044,0.080316762,0.088566461,0.095092102,0.100568774
Temoa,nz,AB,Activity|residential|R_APP_FREZ-EXS,?,0.048080656,0.03393928,0.019797902,0.000510584,,
Temoa,nz,AB,Activity|residential|R_APP_FREZ-TYP-NEW,?,0.020123481,0.038748961,0.058082554,0.080847205,0.088588021,0.093815422
Temoa,nz,AB,Activity|residential|R_APP_OTH,?,1.840986611,1.962022804,2.102172592,2.243324511,2.391194415,2.532294
Temoa,nz,AB,Activity|residential|R_APP_REFR-EXS,?,0.060807912,0.006481526,,,,
Temoa,nz,AB,Activity|residential|R_APP_REFR-TYP-NEW,?,0.053467594,0.114839117,0.130488096,0.139249814,0.148428539,0.157187009
Temoa,nz,AB,Activity|residential|R_LGT_CFL-EXS,?,2.604805303,1.674655746,0.63637462,,,
